order_id,created_at,customer_id,merchant_id,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,delivery_method,items_count,weight_kg,order_value_usd,currency,status,priority,pickup_address
o_000001,2026-02-23T19:20:11.387716+00:00,c_8164,m_838fa36b,-17.803645,31.030746,-17.775812,31.055538,motorcycle,1,1.2,15.6,USD,RAW,1,Restaurant 9
o_000002,2026-02-23T19:45:11.387716+00:00,c_7763,m_03b2bb12,-17.784561,31.051658,-17.791159,31.081895,motorcycle,2,5.8,33.88,USD,RAW,0,Restaurant 5
o_000003,2026-02-23T19:51:11.387716+00:00,c_8273,m_51398e90,-17.860748,31.072302,-17.875007,31.1002,motorcycle,2,1.1,12.09,USD,RAW,0,Restaurant 23
o_000004,2026-02-23T20:00:11.387716+00:00,c_4966,m_644e4554,-17.864093,31.094643,-17.894046,31.0884,motorcycle,1,7.6,56.33,USD,RAW,0,Restaurant 1
o_000005,2026-02-23T19:45:11.387716+00:00,c_7027,m_cc3e74e9,-17.82413,31.022554,-17.84839,30.985138,motorcycle,2,3.9,8.73,USD,RAW,0,Restaurant 30
o_000006,2026-02-23T19:51:11.387716+00:00,c_6454,m_12095ed3,-17.851467,31.089406,-17.85875,31.097626,motorcycle,4,1.9,58.22,USD,RAW,0,Restaurant 26
o_000007,2026-02-23T19:28:11.387716+00:00,c_5512,m_99d60443,-17.817112,31.006194,-17.859524,31.061945,motorcycle,3,2.3,13.39,USD,RAW,0,Restaurant 33
o_000008,2026-02-23T19:47:11.387716+00:00,c_2377,m_e0f744d1,-17.816355,31.041408,-17.885914,31.070037,car,5,3.2,48.4,USD,RAW,0,Restaurant 38
o_000009,2026-02-23T19:44:11.387716+00:00,c_1758,m_1c6a02ff,-17.823933,31.081858,-17.877861,31.154058,car,2,4.9,36.03,USD,RAW,0,Restaurant 18
o_000010,2026-02-23T19:39:11.387716+00:00,c_2800,m_03b2bb12,-17.784561,31.051658,-17.73242,31.045238,car,2,0.8,14.55,USD,RAW,0,Restaurant 5
